-452;86;281;1615552238648;world
-451;92;286;1615552940742;world
-452;92;287;1615552951048;world
-451;94;288;1615552970943;world
-451;90;285;1615552938850;world
-451;92;287;1615552941443;world
-451;94;286;1615552969346;world
-451;92;285;1615552939846;world
-451;94;287;1615552968548;world
-451;96;287;1615552982743;world
-452;86;293;1615552241592;world
-442;80;273;1615546331301;world
-451;88;289;1615552943992;world
-170;63;456;1615550558339;world
-451;90;289;1615552944903;world
-171;63;456;1615550555981;world
-451;92;288;1615552946895;world
-451;88;285;1615552937798;world
-451;92;289;1615552946492;world
-451;91;285;1615552939347;world
-451;93;287;1615552960895;world
-451;95;287;1615552982347;world
-459;73;267;1615553111293;world
-451;87;289;1615552913742;world
-451;89;289;1615552944450;world
-451;87;285;1615552912992;world
-451;91;289;1615552945346;world
-170;64;456;1615550558538;world
-451;89;285;1615552938347;world
